NEIGHBOURHOOD,Assault,B&E-C,B&E-R/O,CC-F,CF-I,Homicide,Mischief,Theft-FV,Theft-O,Theft-OB,Theft-OV
Arbutus Ridge,4.0,5.0,6.5,0,2.0,0.0,13.0,17.0,25.0,6.0,1.5
Central Business District,329.5,155.0,24.5,1,37.5,2.5,484.0,497.5,680.0,72.0,20.5
Dunbar-Southlands,2.5,3.5,12.0,0,3.0,0.0,11.0,12.5,18.0,5.0,3.0
Fairview,22.0,35.5,16.5,0,11.0,0.0,63.0,97.5,117.5,45.0,8.5
Grandview-Woodland,50.0,26.0,28.5,0,12.5,0.0,74.0,87.5,91.0,19.5,17.5
Hastings-Sunrise,21.0,16.5,24.0,0,15.5,0.0,56.0,89.0,48.5,6.0,11.0
Kensington-Cedar Cottage,43.0,18.0,20.0,0,12.0,0.0,63.0,96.0,87.5,17.0,17.5
Kerrisdale,8.0,5.5,24.0,1,6.0,0.0,11.5,24.0,26.5,7.5,1.5
Killarney,13.0,9.5,13.5,1,7.0,0.0,23.0,32.0,21.0,4.0,9.0
Kitsilano,12.5,28.0,26.5,0,9.0,0.0,48.5,70.0,93.0,39.5,6.0
Marpole,14.0,15.5,13.0,1,10.0,1.0,26.5,59.5,55.0,7.5,8.0
Mount Pleasant,40.0,52.0,21.5,1,15.0,1.0,96.5,112.0,179.0,40.0,19.5
Musqueam,4.0,0.0,0.0,0,1.0,0.0,1.0,1.0,1.5,0.0,1.0
Oakridge,9.5,5.5,15.0,0,6.0,0.0,16.5,25.0,16.5,6.0,5.5
Renfrew-Collingwood,31.0,12.0,16.5,2,16.0,1.0,47.5,83.5,309.5,13.0,18.0
Riley Park,9.5,15.0,18.0,0,5.0,0.0,41.5,62.5,25.5,13.0,6.5
Shaughnessy,7.0,4.5,15.0,0,6.5,0.0,13.0,22.0,10.5,4.5,3.5
South Cambie,3.5,8.0,14.0,0,2.0,0.0,11.5,22.5,40.5,13.0,3.0
Stanley Park,3.0,2.0,0.0,0,3.0,0.0,2.5,4.5,2.5,1.0,0.0
Strathcona,143.0,37.0,23.5,2,14.0,0.0,148.0,101.5,131.0,10.0,17.5
Sunset,26.0,9.5,15.0,0,16.5,0.0,43.0,66.5,127.0,6.0,10.5
Victoria-Fraserview,10.0,3.0,10.5,0,10.0,0.0,20.5,54.0,30.0,4.0,8.0
West End,114.0,44.0,8.5,0,13.5,0.0,83.5,158.0,177.5,30.0,10.5
West Point Grey,3.0,3.5,16.5,0,3.5,1.0,19.5,25.0,12.0,4.0,2.5
